;Song_title;Album;Artist;Release_date;Length (ms);Popularity;Danceability;Acousticness;Energy;Instrumentalness;Liveness;Loudness;Speechiness;Tempo;Time_signature
0;Plainsong - Remastered;Disintegration;The Cure;1989;317346;48;0.361;0.00451;0.428;0.66;0.0879;-9.282;0.0306;86.884;4
1;Pictures Of You - Remastered;Disintegration;The Cure;1989;448306;61;0.476;0.00325;0.764;0.112;0.138;-6.454;0.032;171.903;4
2;Closedown - Remastered 2010;Disintegration;The Cure;1989;258346;43;0.521;0.319;0.755;0.769;0.129;-7.223;0.0272;93.986;4
3;Lovesong - Remastered;Disintegration;The Cure;1989;208266;66;0.611;0.326;0.791;0.862;0.217;-7.7;0.0286;140.12;4
4;Last Dance - Remastered;Disintegration;The Cure;1989;283880;38;0.331;0.474;0.772;0.576;0.338;-6.376;0.0546;184.031;4
5;Lullaby - Remastered;Disintegration;The Cure;1989;248186;61;0.719;0.186;0.553;0.677;0.0659;-10.646;0.0349;94.093;4
6;Fascination Street - Remastered;Disintegration;The Cure;1989;315186;52;0.506;0.00145;0.909;0.457;0.17;-5.746;0.08;100.101;4
7;Prayers For Rain - Remastered;Disintegration;The Cure;1989;367426;38;0.565;0.0046;0.68;0.0936;0.076;-7.609;0.0269;116.973;4
8;The Same Deep Water As You - Remastered;Disintegration;The Cure;1989;562133;38;0.338;0.505;0.812;0.33;0.945;-8.363;0.0767;199.797;4
9;Disintegration - Remastered;Disintegration;The Cure;1989;499853;49;0.59;0.32;0.943;0.0291;0.366;-5.941;0.056;122.016;4
10;Homesick - Remastered;Disintegration;The Cure;1989;426013;34;0.491;0.132;0.693;0.727;0.104;-8.68;0.0259;156.085;4
11;Untitled - Remastered;Disintegration;The Cure;1989;390213;35;0.664;0.625;0.688;0.0785;0.111;-9.052;0.031;95.041;4
12;The Kiss;Kiss Me, Kiss Me, Kiss Me;The Cure;1987;376320;40;0.388;0.613;0.588;0.705;0.0949;-8.062;0.0562;157.604;4
13;Catch;Kiss Me, Kiss Me, Kiss Me;The Cure;1987;163600;43;0.531;0.449;0.707;4.05e-06;0.17;-8.873;0.0299;104.997;4
14;Torture;Kiss Me, Kiss Me, Kiss Me;The Cure;1987;256640;30;0.554;0.166;0.916;0.0013;0.439;-5.939;0.0396;124.484;4
15;If Only Tonight We Could Sleep;Kiss Me, Kiss Me, Kiss Me;The Cure;1987;292520;32;0.598;0.28;0.447;0.0179;0.168;-11.224;0.0252;81.203;4
16;Why Can't I Be You?;Kiss Me, Kiss Me, Kiss Me;The Cure;1987;193200;52;0.633;0.365;0.912;2.09e-05;0.0719;-7.31;0.0369;107.655;4
17;How Beautiful You Are;Kiss Me, Kiss Me, Kiss Me;The Cure;1987;312560;44;0.49;0.0768;0.898;0.000163;0.22;-7.616;0.041;145.108;4
18;Snakepit;Kiss Me, Kiss Me, Kiss Me;The Cure;1987;417866;27;0.43;0.0312;0.761;0.798;0.468;-7.238;0.0262;173.764;4
19;Hey You;Kiss Me, Kiss Me, Kiss Me;The Cure;1987;142813;27;0.318;0.0248;0.903;0.000133;0.95;-5.08;0.0504;170.932;4
20;Just Like Heaven;Kiss Me, Kiss Me, Kiss Me;The Cure;1987;212013;45;0.437;0.0524;0.94;0.000573;0.222;-6.946;0.0426;151.417;4
21;All I Want;Kiss Me, Kiss Me, Kiss Me;The Cure;1987;320906;32;0.381;0.0317;0.917;0.000468;0.695;-5.479;0.0506;120.219;4
22;Hot Hot Hot!!!;Kiss Me, Kiss Me, Kiss Me;The Cure;1987;214240;34;0.745;0.244;0.907;0.000288;0.0502;-5.306;0.0347;112.125;4
23;One More Time;Kiss Me, Kiss Me, Kiss Me;The Cure;1987;271693;31;0.452;0.442;0.527;0.00559;0.122;-9.057;0.0284;102.1;4
24;Like Cockatoos;Kiss Me, Kiss Me, Kiss Me;The Cure;1987;219573;27;0.536;0.216;0.951;0.0397;0.967;-9.304;0.0503;96.132;4
25;Icing Sugar;Kiss Me, Kiss Me, Kiss Me;The Cure;1987;228480;26;0.545;0.0793;0.937;0.765;0.112;-7.929;0.0353;142.631;4
26;Perfect Girl;Kiss Me, Kiss Me, Kiss Me;The Cure;1987;153040;30;0.616;0.334;0.828;1.79e-05;0.32;-6.761;0.0299;101.831;4
27;A Thousand Hours;Kiss Me, Kiss Me, Kiss Me;The Cure;1987;202813;28;0.395;0.176;0.452;0.132;0.247;-8.658;0.0269;179.001;4
28;Shiver And Shake;Kiss Me, Kiss Me, Kiss Me;The Cure;1987;208280;24;0.346;0.0158;0.959;0.0046;0.626;-7.008;0.0542;153.062;4
29;Fight;Kiss Me, Kiss Me, Kiss Me;The Cure;1987;271960;25;0.477;0.31;0.864;0.205;0.341;-6.719;0.0392;166.272;4
30;Open;Wish;The Cure;1992;410360;44;0.479;0.031;0.793;0.398;0.0822;-11.515;0.0481;112.13;4
31;High;Wish;The Cure;1992;212840;51;0.626;0.0193;0.718;0.00102;0.0566;-12.05;0.0305;114.799;4
32;Apart;Wish;The Cure;1992;393986;45;0.549;0.404;0.425;0.337;0.362;-15.87;0.0292;82.101;4
33;From The Edge Of The Deep Green Sea;Wish;The Cure;1992;460293;47;0.468;0.0134;0.686;0.000479;0.163;-10.579;0.0307;111.099;4
34;Wendy Time;Wish;The Cure;1992;310560;35;0.572;0.494;0.61;0.00523;0.31;-12.196;0.029;108.205;4
35;Doing The Unstuck;Wish;The Cure;1992;261959;43;0.553;0.226;0.794;0.0378;0.0904;-12.635;0.0425;128.176;4
36;Friday I'm In Love;Wish;The Cure;1992;215160;75;0.526;0.00126;0.763;6.75e-05;0.359;-12.663;0.0341;136.205;4
37;Trust;Wish;The Cure;1992;330800;39;0.385;0.28;0.364;0.441;0.164;-16.837;0.0309;150.285;4
38;A Letter To Elise;Wish;The Cure;1992;312240;56;0.53;0.189;0.592;0.00174;0.198;-13.444;0.0309;150.224;4
39;Cut;Wish;The Cure;1992;349800;36;0.423;0.0399;0.866;0.0;0.529;-10.836;0.0638;134.105;4
40;To Wish Impossible Things;Wish;The Cure;1992;279826;49;0.495;0.562;0.291;0.452;0.1;-19.429;0.0293;79.059;4
41;End;Wish;The Cure;1992;405106;34;0.268;0.00482;0.758;0.313;0.65;-10.158;0.0461;172.262;4
42;Inbetween Days;The Head On The Door;The Cure;1985;177986;64;0.546;0.107;0.836;0.583;0.166;-6.321;0.0317;142.605;4
43;Kyoto Song;The Head On The Door;The Cure;1985;256160;37;0.703;0.163;0.717;0.000961;0.117;-7.464;0.0264;112.692;4
44;The Blood;The Head On The Door;The Cure;1985;223106;35;0.7;0.503;0.698;0.00145;0.144;-8.379;0.037;124.202;4
